id,created_at,content,url,media,replies_count,reblogs_count,favourites_count
117059577812036128,2026-08-08T11:10:05.579Z,,https://truthsocial.com/@realDonaldTrump/117059577812036128,https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/117/059/128/790/315/583/original/010a6012f3532fb1.mp4,675,3027,11965
117059577111765428,2026-08-08T11:09:54.893Z,RT @realDonaldTrump,https://truthsocial.com/@realDonaldTrump/117059577111765428,,0,0,2
117059576602896182,2026-08-08T11:09:47.130Z,,https://truthsocial.com/@realDonaldTrump/117059576602896182,https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/117/059/115/609/705/201/original/10b6d32ff3c6c00d.jpg,817,3305,16991
117059576070730051,2026-08-08T11:09:39.012Z,,https://truthsocial.com/@realDonaldTrump/117059576070730051,https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/117/059/575/931/216/300/original/1d599ebcdf242f90.jpg,384,3127,13855
117059574061763276,2026-08-08T11:09:08.356Z,,https://truthsocial.com/@realDonaldTrump/117059574061763276,https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/117/059/113/304/957/372/original/03c7b42eaee5b6c3.jpg,774,3445,15582
117059569406743326,2026-08-08T11:07:57.325Z,Eric Schmitt is a STAR!!! President DJT,https://truthsocial.com/@realDonaldTrump/117059569406743326,https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/117/059/112/649/082/927/original/dabde16895fc18d1.mp4,246,2638,11526
117057627008755167,2026-08-08T02:53:58.687Z,RT: https://truthsocial.com/users/realDonaldTrump/statuses/117057626226861348,https://truthsocial.com/@realDonaldTrump/117057627008755167,https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/117/057/626/805/483/713/original/9b46d37cef0e9b5d.png,1858,6085,21182
117057626226861348,2026-08-08T02:53:46.754Z,,https://truthsocial.com/@realDonaldTrump/117057626226861348,https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/117/057/620/799/691/051/original/c7e2c7c3328c43f4.mp4,449,2725,11791
117057509638719175,2026-08-08T02:24:07.760Z,,https://truthsocial.com/@realDonaldTrump/117057509638719175,https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/117/057/509/465/256/219/original/ab60e5c988c5f62b.jpg,1628,4697,18436
117057479378658176,2026-08-08T02:16:26.027Z,,https://truthsocial.com/@realDonaldTrump/117057479378658176,https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/117/057/479/254/201/507/original/ebd29330efe86f64.jpg,1074,2301,11024
117057476992290409,2026-08-08T02:15:49.615Z,,https://truthsocial.com/@realDonaldTrump/117057476992290409,https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/117/057/476/757/508/888/original/47f71ccdd797fdb9.jpg,602,2828,11197
117057476136418935,2026-08-08T02:15:36.555Z,,https://truthsocial.com/@realDonaldTrump/117057476136418935,https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/117/057/475/874/076/589/original/3a10866f0fef2ec8.jpg,343,2598,10506
117057475422420857,2026-08-08T02:15:25.660Z,,https://truthsocial.com/@realDonaldTrump/117057475422420857,https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/117/057/475/149/274/647/original/897f09f7d1e2c6ad.jpg,346,2862,12352
117057432376326350,2026-08-08T02:04:28.829Z,"This great and very important military asset sits atop the heavily protected Ballroom at the White House. It provides National Security for Washington, D.C., and will protect future Presidents!!! President DJT",https://truthsocial.com/@realDonaldTrump/117057432376326350,https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/117/057/431/843/811/684/original/b0e139c20d72c7b4.jpg,506,3499,14425
117057342760619458,2026-08-08T01:41:41.401Z,Donald Trump Won The Iran War: https://www.19fortyfive.com/2026/08/donald-trump-won-the-iran-war/,https://truthsocial.com/@realDonaldTrump/117057342760619458,,722,2752,11750
117057340319953837,2026-08-08T01:41:04.160Z,Just kidding!,https://truthsocial.com/@realDonaldTrump/117057340319953837,https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/117/057/340/014/709/099/original/cb7c3874824af96d.jpg,1158,3309,14687
117057337894030242,2026-08-08T01:40:27.144Z,,https://truthsocial.com/@realDonaldTrump/117057337894030242,https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/117/057/337/620/068/928/original/7b7204848439ba1d.jpg,609,2446,12113
117057337168849076,2026-08-08T01:40:16.078Z,,https://truthsocial.com/@realDonaldTrump/117057337168849076,https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/117/057/337/010/499/198/original/6f964b7c8423fc4c.jpg,259,2211,11626
117057336381597225,2026-08-08T01:40:04.065Z,,https://truthsocial.com/@realDonaldTrump/117057336381597225,https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/117/057/336/264/790/037/original/3e26f7b4be0a98dc.jpg,449,2464,11707
117057335936702979,2026-08-08T01:39:57.278Z,,https://truthsocial.com/@realDonaldTrump/117057335936702979,https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/117/057/335/549/243/540/original/d5878d93e342b93e.jpg,204,2182,11295
